Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
NLTC Perera,10,148,116,9,16.4,127.6,0,0,40,0.141762452,28.93111267,28.93111267,35.84700053,0.179235003
Anshuman Rath,8,145,152,6,24.2,95.4,0,0,41,0.158991228,32.4471894,32.4471894,39.22289034,0.196114452
Ahmed Shehzad,7,141,133,7,20.1,106,0,1,52,0.151450054,30.90817423,30.90817423,57.49695927,0.287484796
Samiullah Shenwari,7,137,106,6,22.8,129.2,0,0,43,0.215408805,43.96098062,43.96098062,50.36284978,0.251814249
Mushfiqur Rahim,12,134,135,8,16.8,99.3,0,0,26,0.124074074,25.32123961,25.32123961,31.58292185,0.157914609
PL Mommsen,6,132,114,3,44,115.8,0,1,56,0.385964912,78.76834945,78.76834945,104.9365737,0.524682869
Shahid Afridi,9,130,71,9,14.4,183.1,0,0,49,0.203442879,41.518955,41.518955,47.59372135,0.237968607
MW Machan,7,129,110,3,43,117.3,0,0,41,0.390909091,79.77736549,79.77736549,85.80540287,0.429027014
AD Russell,8,126,89,4,31.5,141.6,0,0,43,0.353932584,72.23113965,72.23113965,78.11899011,0.390594951
JP Duminy,6,126,91,3,42,138.5,0,1,54,0.461538462,94.19152276,94.19152276,120.0793732,0.600396866
RD Berrington,6,120,108,6,20,111.1,0,0,41,0.185185185,37.79289494,37.79289494,43.40037157,0.217001858
SC Williams,6,119,96,6,19.8,124,0,1,53,0.206597222,42.16269841,42.16269841,67.72344608,0.33861723
PJ Moor,7,119,107,5,23.8,111.2,0,0,35,0.222429907,45.39385848,45.39385848,50.95460614,0.254773031
LRPL Taylor,7,119,93,3,39.7,128,0,0,36,0.426523297,87.04557092,87.04557092,92.60631858,0.463031593
Jatinder Singh,5,119,112,5,23.8,106.2,0,0,42,0.2125,43.36734694,43.36734694,48.9280946,0.244640473
Gulbadin Naib,11,116,100,7,16.6,116,0,0,37,0.165714286,33.81924198,33.81924198,39.23980273,0.196199014
GC Wilson,7,116,104,7,16.6,111.5,0,0,45,0.159340659,32.51850191,32.51850191,37.93906265,0.189695313
Tanwir Afzal,7,114,73,4,28.5,156.2,0,1,56,0.390410959,79.6757059,79.6757059,105.0028087,0.525014044
CH Gayle,4,113,58,3,37.7,194.8,1,0,100,0.649425287,132.5357729,0,55.28037383,0.276401869
Karim Sadiq,6,111,86,6,18.5,129.1,0,1,73,0.215116279,43.90128144,43.90128144,69.08819733,0.345440987
MS Chapman,7,110,101,6,18.3,108.9,0,0,40,0.181518152,37.04452078,37.04452078,42.18470769,0.210923538
ADS Fletcher,4,109,97,1,109,112.4,0,1,84,1.12371134,229.3288449,0,25.09345794,0.12546729
AD Hales,7,109,96,6,18.2,113.5,0,0,28,0.189236111,38.61961451,38.61961451,43.71307246,0.218565362
R Mutumbami,9,108,106,8,13.5,101.9,0,0,32,0.127358491,25.99152869,25.99152869,31.03825766,0.155191288
E Lewis,3,107,62,3,35.7,172.6,1,0,100,0.575268817,117.4017994,0,55,0.275
MD Shanaka,10,105,107,8,13.1,98.1,0,0,27,0.122663551,25.03337784,25.03337784,29.93991989,0.149699599
LMP Simmons,4,102,71,3,34,143.7,0,1,82,0.478873239,97.72923254,97.72923254,122.4955877,0.612477938
JJ Atkinson,5,102,91,5,20.4,112.1,0,1,53,0.224175824,45.7501682,45.7501682,70.51652334,0.352582617
AM Rahane,7,102,96,5,20.4,106.2,0,0,40,0.2125,43.36734694,43.36734694,48.13370208,0.24066851
