Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
Rubel Hossain,3,9,68,1,7.6,68,54,0,Jan-34,0.014705882,16.90331305,16.90331305,19.534892,0.114911129
Ziaur Rahman,3,4.3,64,1,14.2,64,27,0,16-Jan,0.015625,17.95977011,17.95977011,20.59134906,0.121125583
Amjad Javed,3,8,57,1,7.1,57,48,0,18-Jan,0.01754386,20.16535592,20.16535592,22.79693487,0.134099617
Khurram Khan,1,1,8,1,8,8,6,0,8-Jan,0.125,143.6781609,0,2.631578947,0.015479876
R Rampaul,3,9.1,88,1,9.6,88,55,0,27-Jan,0.011363636,13.06165099,13.06165099,15.69322994,0.092313117
S Prasanna,2,3,21,1,7,21,18,0,15-Jan,0.047619048,54.73453749,54.73453749,57.36611644,0.337447744
Anwar Ali,2,4,28,1,7,28,24,0,15-Jan,0.035714286,41.05090312,41.05090312,43.68248207,0.256955777
Mirwais Ashraf,1,4,14,1,3.5,14,24,0,14-Jan,0.071428571,82.10180624,82.10180624,84.73338519,0.498431678
RAS Lakmal,1,4,44,1,11,44,24,0,Jan-44,0.022727273,26.12330199,26.12330199,28.75488093,0.169146358
SR Thompson,2,2,14,1,7,14,12,0,9-Jan,0.071428571,82.10180624,82.10180624,84.73338519,0.498431678
Ahmed Raza,2,4.2,45,1,10.4,45,26,0,29-Jan,0.022222222,25.54278416,25.54278416,28.17436311,0.165731548
BCJ Cutting,2,4,29,1,7.2,29,24,0,18-Jan,0.034482759,39.63535474,39.63535474,42.26693368,0.248629022
Taskin Ahmed,1,4,24,1,6,24,24,0,24-Jan,0.041666667,47.89272031,47.89272031,50.52429925,0.29720176
AJ Finch,1,1,18,0,18,-,-,0,0/18,0,0,0,0,0
H Masakadza,2,3,31,0,10.3,-,-,0,0/11,0,0,0,0,0
T Kamungozi,1,2,17,0,8.5,-,-,0,0/17,0,0,0,0,0
Yuvraj Singh,1,1,13,0,13,-,-,0,0/13,0,0,0,0,0
CH Gayle,1,1,9,0,9,-,-,0,0/9,0,0,0,0,0
Ehsan Nawaz,1,1,10,0,10,-,-,0,0/10,0,0,0,0,0
Junaid Khan,1,3,23,0,7.7,-,-,0,0/23,0,0,0,0,0
SPD Smith,1,1,4,0,4,-,-,0,0/4,0,0,0,0,0
Aftab Alam,1,1,15,0,15,-,-,0,0/15,0,0,0,0,0
CL White,1,2,14,0,7,-,-,0,0/14,0,0,0,0,0
DR Smith,1,1,11,0,11,-,-,0,0/11,0,0,0,0,0
Mominul Haque,1,1,14,0,14,-,-,0,0/14,0,0,0,0,0
Sohaib Maqsood,1,1,12,0,12,-,-,0,0/12,0,0,0,0,0
Gulbadin Naib,1,2,23,0,11.5,-,-,0,0/23,0,0,0,0,0
Rohan Mustafa,2,6.5,38,0,5.6,-,-,0,0/13,0,0,0,0,0
Karim Sadiq,2,4,32,0,8,-,-,0,0/15,0,0,0,0,0
BA Stokes,2,5,66,0,13.2,-,-,0,0/30,0,0,0,0,0
Nasir Hossain,2,5,33,0,6.6,-,-,0,0/11,0,0,0,0,0
SD Parry,3,8,72,0,9,-,-,0,0/17,0,0,0,0,0
DR Briggs,1,4,53,0,13.2,-,-,0,0/53,0,0,0,0,0
Saad Nasim,1,1,12,0,12,-,-,0,0/12,0,0,0,0,0
Sohag Gazi,4,14,123,0,8.8,-,-,0,0/21,0,0,0,0,0
